"","TypeOf","Equipment","Destination"
"1","Pedestrian Counter - Pad",100043439,"Ship Cove"
"2","Pedestrian Counter - Pad",100055887,"Tongariro Alpine Crossing"
"3","Pedestrian Counter - Pad",100057063,"Tuatapere walks and picnic area"
"4","Track",100057092,"Warkworth backcountry"
"5","Pedestrian Counter - Pad",100057094,"Bluff Hill/Motupohue"
"6","Pedestrian Counter - Structure",100057473,"Bream Bay/Mangawhai campsite and walks"
"7","Pedestrian Counter - Pad",100065282,"Queen Charlotte Track"
"8","Pedestrian Counter - Pad",100065283,"Queen Charlotte Track"
"9","Pedestrian Counter - Pad",100065284,"Queen Charlotte Track"
"10","Pedestrian Counter - Pad",100065285,"Queen Charlotte Track"
"11","Pedestrian Counter - Structure",100073031,"Tongariro Alpine Crossing"
"12","Pedestrian Counter - Pad",100073032,"Warkworth walks"
"13","Pedestrian Counter - Structure",100073669,"Bream Head tracks"
"14","Pedestrian Counter - Pad",100081557,"Greenstone/Caples Tracks"
"15","Pedestrian Counter - Pad",100083840,"Whanganui Journey"
"16","Pedestrian Counter - Pad",100084734,"Kerikeri walks"
"17","Pedestrian Counter - Pad",100084749,"Central Arthurs Pass backcountry"
"18","Pedestrian Counter - Pad",100087870,"Waitomo/West Coast walks & picnic areas"
"19","",100088064,"Mt Pirongia backcountry"
"20","Pedestrian Counter - Pad",100088217,"Kaniwhaniwha Amenity Area"
"21","Pedestrian Counter - Pad",100089349,"Greenstone/Caples Tracks"
"22","Pedestrian Counter - Pad",100090204,"Pureora Timber Trail"
"23","",100091333,"Mountain to the Sea Cycle Trail"
"24","",100092816,"North & west Hamilton walks & bike trail"
"25","Pedestrian Counter - Pad",100092930,"Waikanae walks"
"26","",100093160,"Tongariro Northern Circuit"
"27","Pedestrian Counter - Pad",100094054,"St James cycle trail and backcountry"
"28","",100094097,"North & west Hamilton walks & bike trail"
"29","Pedestrian Counter - Pad",100094098,"Mt Pirongia backcountry"
"30","Pedestrian Counter - Pad",100094233,"Pureora Timber Trail"
"31","Pedestrian Counter - Pad",100094234,"Pureora Timber Trail"
"32","Pedestrian Counter - Pad",100094235,"Pureora Timber Trail"
"33","Pedestrian Counter - Pad",100095632,"Pureora Timber Trail"
"34","Pedestrian Counter - Pad",100095823,"Tongariro Alpine Crossing"
"35","Pedestrian Counter - Pad",100097151,"Te Paki Coastal Track"
"36","Pedestrian Counter - Pad",100097152,"Te Paki Coastal Track"
"37","Pedestrian Counter - Pad",100097596,"Bream Head tracks"
"38","Pedestrian Counter - Pad",100097620,"Kerikeri Basin"
"39","Pedestrian Counter - Pad",100103055,"Queen Charlotte Track"
"40","Pedestrian Counter - Pad",100103061,"West Mt Richmond FP/Red Hills backcntry"
"41","Pedestrian Counter - Pad",100104366,"Auckland walks"
"42","",100104374,"Tongariro Alpine Crossing"
"43","Pedestrian Counter - Pad",100122980,"Warkworth backcountry"
